site_code,upstream1_USGS,upstream2_USGS,upstream3_USGS,downstream1_USGS,downstream2_USGS,downstream3_USGS,upstream1_NW,upstream2_NW,upstream3_NW,downstream1_NW,downstream2_NW,downstream3_NW,upstream_dam,reservoir_temp,dam_completed,Notes
CLE,,,,,,,,,,,,,,,,LEW is immediately downstream
LEW,,,,11525500,11525655,,29456,28886,28824,28901,28971,28285,CLE,,,LEW just downstream of CLE 
WHI,11371000,,,11372000,,,,,,31153,31154,31155,,,,
SPC,,,,11370500,,,,,,,,,SHA,,,no upstream or downstream sites
SHA,11342000,11368000,,,,,32079,32079,30878,30714,,,,,,
BLB,11387200,11387000,,11388000,,,,,,32003,,,,,,
SCD,,,,11470500,,,30189,30185,,30183,30171,,,11470000,,
COY,11461500,,,11462000,,,,,,28110,,,,11461800,,
INV,,,,,,,31093,,,,,,,,,
WRS,,,,11465000,11465200,11465240,,,,,,,,,1982,"also known as lake sanoma, warm springs dam completed in 1982"
BER,11453550,11453500,,11454000,,,,,,,,,,,1958,
SAT,,,,11174000,,,31470,,,31946,,,NA,NA,,
CVE,11173200,,,11173500,11173510,,,,,,,,NA,NA,,
SNL,,,,,,,,,,,,,NA,NA,,"no upstream or downstream, and there is a ""forebay""(small reservoir) immediately downstream"
CCH,,,,11126000,,,,,,,,,NA,NA,,
PYM,,,,,,,,,,,,,NA,NA,,no upstream or downstream
CAS,,,,,,,,,,,,,NA,NA,,no upstream or downstream
PRA,,,,,,,,,,,,,NA,NA,,it's a flood control dam (won't use)
PRR,,,,,,,,,,,,,NA,NA,,no upstream or downstream
ISB,11187000,11185500,11186000,11191000,,,,,,,,,NA,NA,,
SCC,11204100,11203580,,11204900,,,,,,,,,NA,NA,,
TRM,11209900,11208730,11209500,11210950,,,,,,,,,NA,NA,,
PNF,11218500,11213500,11216500,11221500,,,30799,30795,30800,,,,NA,NA,1954,
WSN,,,,,,,,,,30792,30793,30794,NA,NA,,
CTG,,,,,,,,,,,,,NA,NA,,no upstream or downstream
MIL,11247000,11235000,11246500,11251000,11254000,,30556,30577,30554,,,,NA,NA,,
HID,11257500,,,11258000,,,,,,,,,NA,NA,,
BUC,11258980,11258960,,11259000,,,31099,,,,,,NA,NA,,
OWN,,,,,,,,,,,,,NA,NA,,"no upstream, no downstream"
MAR,,,,,,,,,,,,,NA,NA,,"no upstream, no downstream"
BAR,,,,,,,,,,,,,NA,NA,,"no upstream, no downstream"
