meta_url,name,num,lat,lon,junk
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=29P,TWENTYNINE PALMS,1975,34.127,116.037 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=3LK,THREE LAKES,6250,39.973,121.213 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=3RV,THREE RIVERS PH NO,1,1140,36.467,118.867 
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=49M,49 MOUNTAIN,6000,41.525,119.867 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=7UP,SEVEN UP,7400,40.958,122.883 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=8SI,8 STATION PRECIP INDEX,0,39.9,120.9 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ABA,ALHAMBRA CREEK,800,37.977,122.178 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ABN,LAKE AUDRAIN,7300,38.82,120.037 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ABR,AUBERRY,2 NW 2090,37.083,119.5 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ABY,ABBEY,5650,39.955,120.538 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ACC,"ALAMEDA CK BL CALAVERAS CK NR SUNOL, CA.",430,37.504,121.824 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ACD,"ALAMEDA CK ABOVE DIV DAM NR SUNOL, CA.",930,37.498,121.772 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ACK,ARCADE CK NR DEL PASO HTS,50,38.634,121.382 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ACM,ARROYO CORTE MADERA MILL VALLEY,3,37.898,122.535 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ACN,ACTON,2600,34.446,118.2 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ACT,ACTON ESCONDIDO CNYN,2960,34.5,118.167 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ADI,ADIN MOUNTAIN,6200,41.237,120.793 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ADM,ADIN MOUNTAIN,6200,41.237,120.792 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ADN,ADIN RS,4195,41.194,120.944 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ADR,AUBURN DAM RIDGE,1200,38.882,121.045 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ADS,ALDER SPRINGS NEAR ELK CREEK,4500,39.65,122.725 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AFD,AMERICAN R BELOW FOLSOM DAM,220,38.704,121.163 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AFO,AMERICAN RIVER AT FAIR OAKS,72,38.636,121.227 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AGL,ANGIOLA,205,36,119.45 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AGP,AGNEW PASS,9450,37.728,119.143 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AGW,A.G. WISHON (PG&E),1000,37.151,119.505 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AHD,"ARROYO HONDO NR SAN JOSE, CA.",784,37.462,121.768 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AHV,ASH VALLEY,5090,41.058,120.706 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AHZ,AMERICAN R AT HAZEL AVE BRIDGE,100,38.636,121.224 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ALD,ALDER POINT,923,40.232,123.712 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ALI,LAKE ALPINE,7550,38.48,120.013 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ALM,LAKE ALMANOR,4600,40.218,121.173 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ALN,ALAMEDA CK NR NILES,86,37.587,121.96 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ALO,ALISO CANYON,2780,34.329,118.555 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ALP,ALPHA (SMUD),7600,38.805,120.215 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ALS,ALDER SPRINGS (USACE),4500,39.65,122.725 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ALT,ALTURAS RS,4400,41.5,120.55 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ALY,ALLEGHANY,4957,39.47,120.875 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AMA,AMERICAN MF NR AUBURN,88,38.872,121.055 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AMC,ARCADE CREEK AT WINDING WAY,70,38.645,121.347 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AMD,AMMO DUMP,1068,33.382,117.286 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AMF,AMERICAN R AT FOLSOM,0,38.683,121.183 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AMK,AMERICAN SF NR KYBURZ,3840,38.764,120.325 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AMN,AMERICAN NF AT N FORK DAM,715,38.636,121.227 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AMW,KINGS RIVER BELOW ARMY WEIR,230,36.386,119.787 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ANA,SANTA ANA FIRE STA,135,33.75,117.867 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ANC,ANTIOCH (USBR),10,38.004,121.804 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ANG,ANGWIN,1815,38.571,122.434 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ANH,SAN JOAQUIN RIVER AT ANTIOCH,10,38.018,121.802 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ANL,ANTELOPE CREEK AT LANDFILL,200,38.764,121.26 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ANM,SANTA ANA R NR MENTONE,1950,34.108,117.1 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ANR,ANTELOPE RIDGE,5650,40.155,120.542 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ANT,ANTELOPE LAKE,4960,40.18,120.607 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ANZ,ANZA,3920,33.558,116.673 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=APH,ALPHA,7600,38.805,120.215 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=API,ALPINE,2041,32.834,116.739 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=APN,ALPINE LAKE,654,37.94,122.637 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=APP,ANTIOCH PUMP PLANT,60,37.984,121.728 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=APU,ANGWIN PACIFIC UNION COL,1815,38.567,122.433 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AQD,L A AQUEDUCT INTAKE,3841,99.999,999.999 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARC,MAD RIVER NEAR ARCATA,33,40.91,124.06 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARD,ARCADE CREEK AT SUNRISE BLVD,22,38.684,121.271 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARG,ARROYO GRANDE,600,35.117,120.417 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARM,ARROYO MOCHO NEAR LIVERMORE,746,37.626,121.704 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARP,SO FRK AMERICAN R NR PILOT HILL,500,38.763,121.007 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARR,LAKE ARROWHEAD,5205,34.25,117.183 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARS,ARROWHEAD SPRINGS HOTEL,2000,34.184,117.264 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARW,ARDEN WAY,35,38.596,121.413 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARY,ARROYO SECO,980,36.23,121.488 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ASC,ASH CREEK (USFS),3200,41.27,121.978 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ASH,ASH CREEK,5000,41.4,122.05 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ASM,ASH MOUNTAIN,1708,36.483,118.833 ,
