site_no,lat,lon,name
ALM,40.218,-121.173,LAKE ALMANOR
ANT,40.18,-120.607,ANTELOPE LAKE
BAR,37.367,-120.217,BEAR
BCL,39.897,-121.202,BUCKS LAKE STORAGE
BER,38.513,-122.104,BERRYESSA
BHC,38.805,-120.62,BRUSH CREEK (SMUD)
BIL,39.001,-120.25,BUCK ISLAND LAKE
BLB,39.808,-122.329,BLACK BUTTE
BOC,39.383,-120.1,BOCA RESERVOIR
BTV,40.187,-121.186,BUTT VALLEY
BUC,37.213,-119.97,BUCHANAN DAM
BUL,39.393,-121.14,NEW BULLARDS BAR
CAS,34.517,-118.6,CASTAIC
CCH,34.583,-119.98,CACHUMA LAKE
CFW,39.05,-121.317,BEAR RIVER AT CAMP FAR WEST DAM
CHV,37.967,-119.917,CHERRY VALLEY DAM
CLE,40.801,-122.762,TRINITY LAKE
CMI,38.833,-120.533,CAMINO
CMN,38.225,-121.021,CAMANCHE RESERVOIR
COY,39.197,-123.186,COYOTE (LAKE MENDOCINO)
CTG,37.072,-118.967,COURTRIGHT (PG&E)
CVE,37.492,-121.818,CALAVERAS
DAV,39.883,-120.467,LAKE DAVIS (DWR)
DNN,39.333,-120.25,DONNER LAKE (DWR)
DNP,37.702,-120.421,DON PEDRO RESERVOIR
ENG,39.239,-121.267,ENGLEBRIGHT (USACE)
EXC,37.585,-120.27,NEW EXCHEQUER-LK MCCLURE
FOL,38.683,-121.183,FOLSOM LAKE
FRD,39.883,-120.183,FRENCHMAN DAM
FRM,37.915,-120.935,FARMINGTON (SPILL ELEV
GDW,37.875,-120.603,GOODWIN DAM
GLL,39.033,-120.367,GERLE LAKE
HID,37.2,-119.917,HIDDEN DAM (HENSLEY)
HTH,37.95,-119.783,HETCH HETCHY
ICH,38.824,-120.359,ICE HOUSE (SMUD)
INP,39.452,-120.29,INDEPENDENCE LAKE NEAR TRUCKEE
INV,39.083,-122.533,INDIAN VALLEY
ISB,35.646,-118.473,ISABELLA DAM
JNC,38.853,-120.453,JUNCTION
KES,40.601,-122.443,KESWICK RESERVOIR
LEW,40.727,-122.793,LEWISTON
LGV,39.724,-121.019,LITTLE GRASS VALLEY
LON,38.983,-120.323,LOON LAKE (SMUD)
LVY,39.3,-120.583,LAKE VALLEY RESERVOIR
LYS,38.094,-120.166,LYONS RESERVOIR
MAR,37.292,-120.147,MARIPOSA CREEK DAM
MIL,37.001,-119.705,FRIANT DAM (MILLERTON)
MMW,40.283,-121.017,MOUNTAIN MEADOWS
MRT,39.327,-120.113,MARTIS CREEK RESERVOIR
NAT,38.65,-121.183,LAKE NATOMA (NIMBUS DAM)
NHG,38.152,-120.812,NEW HOGAN LAKE
NML,37.948,-120.525,NEW MELONES RESERVOIR
ORO,39.54,-121.493,OROVILLE DAM
OWN,37.282,-120.187,OWENS CREEK DAM
PAR,38.25,-120.85,PARDEE
PNF,36.833,-119.325,PINE FLAT DAM
PRA,33.89,-117.643,PRADO DAM
PRR,33.858,-117.183,PERRIS
PRS,39.3794,-120.1367,PROSSER CREEK RESERVOIR
PYM,34.633,-118.75,PYRAMID
RBL,38.967,-120.217,RUBICON LAKE
RLF,38.267,-119.733,RELIEF
RTD,40.367,-123.433,RUTH DAM
SAT,37.573,-121.848,SAN ANTONIO RESERVOIR
SCC,36.061,-118.922,SUCCESS DAM
SCD,39.408,-122.958,SCOTT DAM
SHA,40.718,-122.42,SHASTA DAM (USBR)
SLB,38.767,-120.683,SLAB CREEK
SLC,39.584,-121.116,SLY CREEK
SLS,38.497,-120.216,SALT SPRINGS
SNL,37.033,-121.133,SAN LUIS RESERVOIR
SPC,40.629,-122.474,SPRING CREEK DEBRIS DAM
STP,39.471,-120.103,STAMPEDE
SWB,38.2,-119.983,STRAWBERRY
TAB,39.45,-121.633,THERMALITO AFTERBAY
TRM,36.415,-119.002,TERMINUS DAM
TUL,37.875,-120.603,TULLOCH
UNV,38.864,-120.438,UNION VALLEY
WHI,40.598,-122.537,WHISKEYTOWN DAM (USBR)
WRS,38.723,-123.01,WARM SPRINGS (USACE)
WSN,37.005,-118.969,WISHON
