,name,state,code,upstream1,upstream2,upstream3,downstream1,downstream2,downstream3
0,Hungry Horse,MT,HGH,13923,NA,NA,NA,NA,NA
1,Grand Coulee,WA,GCL,NA,NA,NA,NA,NA,NA
2,Rimrock Lake,WA,RIM,NA,NA,NA,NA,NA,NA
3,Keechelus REsservoir,WA,KEE,NA,NA,NA,16073,23796,16069
4,Kachess Reservoir,WA,KAC,NA,NA,NA,15840,16070,NA
5,Cle Elum Reservoir,WA,CLE,23792,NA,NA,15840,16070,NA
6,Bumping Lake,WA,BUM,15827,NA,NA,1423,23773,NA
7,Prosser Reservoir,WA,PRO,5082,1523,NA,15823,1525,5083
8,McKay Reservoir,OR,MCK,3307,3193,3209,3203,3204,NA
9,American Falls Reservoir,ID,AMF,4794,4792,4786,2684,NA,NA
10,Anderson Ranch Dam,ID,AND,10245,19081,18493,19080,12535,NA
11,Arrowrock Dam,ID,ARK,19079,10231,NA,NA,NA,NA
12,Lucky Peak Reservoir,ID,LUC,NA,NA,NA,4844,4846,4847
13,Crane Praire Reservoir,OR,CRA,7414,NA,NA,20828,20874,NA
14,Crescent Lake,OR,CRE,NA,NA,NA,5347,20582,20621
15,Cascade Reservoir,ID,CSC,4853,NA,NA,2697,NA,NA
16,Deadwood Dam,ID,DED,12473,19083,12470,1435,12472,19091
17,Elwah Dam,WA,ELD,19998,25965,25983,25989,25974,25956
18,Emigrant Lake,OR,EMI,15828,8135,NA,1413,1404,1412
19,Black Canyon Dam,ID,EMM,NA,NA,NA,4857,NA,NA
20,Glines Canyon Dam,WA,GLI,25966,NA,NA,25991,25990,19998
21,Island Park,ID,ISL,17572,NA,NA,17582,17609,17573
22,Jackson Lake,WY,JCK,17533,NA,NA,17540,NA,NA
23,Milner Lake,ID,MIL,4800,NA,NA,2685,2686,2687
24,Lake Walcott,ID,MIN,2684,NA,NA,4800,NA,NA
25,Ochoco Reservoir,OR,OCH,20110,1480,20115,20094,20095,20720
26,Lake Owyhee,OR,OWY,5099,1495,5098,1481,NA,NA
27,Palisades Reservoir,ID,PAL,NA,NA,NA,17563,NA,NA
28,Payette Lake,ID,PAY,278,8903,NA,4853,NA,NA
29,Phillips Lake,OR,PHL,1488,1933,NA,19121,NA,NA
30,Potholes Reservoir,WA,POT,NA,NA,NA,20056,NA,NA
31,Ririe Lake,ID,RIR,16965,16928,16963,4791,NA,NA
32,Scoggins Dam,OR,SCO,1497,5616,NA,1498,NA,NA
33,Soliders Meadow Reservoir,ID,SOL,NA,NA,NA,3164,NA,NA
34,Thief Valley Dam,OR,THF,NA,NA,NA,19094,NA,NA
35,Thompson Reservoir,OR,THM,23572,NA,NA,23689,23384,23381
36,Warm Springs Reservoir,OR,WAR,18167,17843,18169,1516,17840,NA
37,Wickiup Reservoir,OR,WIC,20874,20828,NA,20825,20847,20904
38,Wildhorse Reservoir,NV,WLD,NA,NA,NA,15846,NA,NA
